# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1666059865.951375722885132,0.01160,0.00040,0.00044,0.00050,0.00000,0.00182,0.01475
1666059866.051374912261963,0.01155,0.00078,0.00034,0.00078,0.00015,0.00483,0.01843
1666059866.151376008987427,0.00695,0.00145,0.00515,0.00071,0.00366,0.00150,0.01942
1666059866.251377820968628,0.00828,0.00046,0.00074,0.00102,0.00000,0.00218,0.01268
1666059866.351380109786987,0.00680,0.00055,0.00097,0.00118,0.01065,0.00141,0.02155
1666059866.451378583908081,0.00350,0.00048,0.00869,0.00210,0.00247,0.00143,0.01868
1666059866.551376819610596,0.01304,0.00079,0.00220,0.00696,0.00000,0.00191,0.02490
1666059866.651377439498901,0.00966,0.00043,0.00042,0.00152,0.00000,0.00158,0.01361
1666059866.751374721527100,0.00429,0.00040,0.00464,0.00125,0.00096,0.00145,0.01300
1666059866.851372718811035,0.00851,0.00227,0.00300,0.00268,0.00001,0.00235,0.01882
1666059866.951372861862183,0.00809,0.00038,0.00072,0.00104,0.00000,0.00146,0.01168
1666059867.051374673843384,0.00338,0.00035,0.00557,0.00579,0.00443,0.00138,0.02089
1666059867.151376485824585,0.01287,0.00054,0.00059,0.00234,0.00000,0.00184,0.01819
1666059867.251376628875732,0.01179,0.00049,0.00039,0.00127,0.00016,0.00395,0.01804
1666059867.351375102996826,0.00610,0.00103,0.00099,0.00429,0.00550,0.00201,0.01991
1666059867.451371431350708,0.01013,0.00042,0.00040,0.00123,0.00000,0.00166,0.01383
1666059867.551370382308960,0.01048,0.00045,0.00124,0.00107,0.00057,0.00171,0.01551
1666059867.651368141174316,0.00858,0.00163,0.00780,0.00082,0.00545,0.00212,0.02640
1666059867.751368761062622,0.01368,0.00057,0.00141,0.00165,0.00000,0.00174,0.01905
1666059867.851368665695190,0.01405,0.00073,0.00242,0.00641,0.00001,0.00179,0.02541
1666059867.951369524002075,0.01161,0.00093,0.00665,0.00165,0.00433,0.00129,0.02644
1666059868.051373243331909,0.01100,0.00261,0.00294,0.00231,0.00067,0.00172,0.02126
1666059868.151369810104370,0.01329,0.00151,0.00382,0.00493,0.00188,0.00407,0.02951
