# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954590.652204275131226,0.00749,0.00059,0.00135,0.00223,0.00123,0.00214,0.01503
1664954590.752190351486206,0.01107,0.00057,0.00066,0.00318,0.00434,0.00240,0.02222
1664954590.852192163467407,0.00391,0.00034,0.00063,0.00222,0.00261,0.00236,0.01206
1664954590.952188968658447,0.00571,0.00040,0.00046,0.00277,0.00000,0.00278,0.01212
1664954591.052190542221069,0.00490,0.00034,0.00112,0.00223,0.00221,0.00253,0.01333
1664954591.152198553085327,0.00743,0.00042,0.00054,0.00247,0.00081,0.00238,0.01405
1664954591.252200841903687,0.00567,0.00049,0.00229,0.00283,0.00436,0.00215,0.01780
1664954591.352202415466309,0.00476,0.00093,0.00036,0.00282,0.00051,0.00265,0.01203
1664954591.452198028564453,0.00673,0.00034,0.00070,0.00257,0.00013,0.00333,0.01381
1664954591.552208423614502,0.00501,0.00037,0.00051,0.00258,0.00212,0.00404,0.01463
1664954591.652215242385864,0.00422,0.00038,0.00067,0.00270,0.00025,0.00237,0.01059
1664954591.752228260040283,0.00837,0.00055,0.00032,0.00354,0.00102,0.00261,0.01641
1664954591.852252721786499,0.00516,0.00041,0.00059,0.00210,0.00277,0.00244,0.01347
1664954591.952239751815796,0.00405,0.00039,0.00073,0.00196,0.00110,0.00300,0.01124
1664954592.052250385284424,0.00677,0.00034,0.00033,0.00207,0.00003,0.00227,0.01181
1664954592.152249813079834,0.00513,0.00038,0.00069,0.00205,0.00006,0.00232,0.01064
1664954592.252251863479614,0.00408,0.00032,0.00044,0.00204,0.00360,0.00314,0.01362
1664954592.352238655090332,0.00476,0.00038,0.00048,0.00211,0.00001,0.00241,0.01015
1664954592.452239751815796,0.00780,0.00053,0.00027,0.00280,0.00025,0.00292,0.01456
1664954592.552287340164185,0.00480,0.00033,0.00097,0.00195,0.00766,0.00288,0.01860
1664954592.652286291122437,0.00407,0.00036,0.00027,0.00251,0.00000,0.00210,0.00932
1664954592.752288341522217,0.00514,0.00039,0.00067,0.00267,0.00013,0.00209,0.01110
1664954592.852304220199585,0.00593,0.00045,0.00260,0.00298,0.00720,0.00233,0.02150
